3.141593e+00   9.643830e-01   9.277500e+01   6.681047e-01   2.885597e-06   6.443088e-01   2.171516e-02   6.467444e-02
6.283185e+00   1.831353e+00   8.775000e+01   6.680219e-01   1.032047e-05   1.223384e+00   4.438529e-02   1.247293e-01
1.256637e+01   3.264348e+00   6.720000e+01   6.677046e-01   7.190309e-05   2.179620e+00   8.106905e-02   1.535880e-01
1.570796e+01   3.979910e+00   5.887500e+01   6.674339e-01   5.310880e-05   2.656327e+00   4.883311e-02   2.198076e-01
1.884956e+01   4.536542e+00   5.548872e+01   6.670933e-01   9.725077e-05   3.026297e+00   7.006790e-02   1.543829e-01
3.141593e+01   5.601693e+00   3.750000e+01   6.652254e-01   5.945760e-04   3.726389e+00   1.367122e-01   3.114398e-01
6.283185e+01   7.670869e+00   6.000000e+00   6.600693e-01   3.781821e-04   5.063305e+00   4.430488e-02   3.575850e-01
1.570796e+02   7.822975e+00   3.075000e+02   6.178288e-01   4.683749e-03   4.833259e+00   9.800961e-02   4.732927e-01
3.141593e+02   5.742645e+00   -9.000000e+01   5.199509e-01   9.111223e-03   2.985893e+00   1.237634e-01   3.605081e-01
5.026548e+02   3.624553e+00   -8.400000e+01   3.598696e-01   1.853761e-02   1.304366e+00   1.544713e-01   1.400502e+00
6.283185e+02   1.882780e+00   1.200000e+02   2.543271e-01   1.536273e-02   4.788420e-01   9.708983e-02   1.248727e+00
