Time	(10) Kp*error	(13) Kd*de/dt	(14) Kp*e+Kd*de/dt CCW	
0.0208	-0.05995239	-0.05991687	-0.05970535	
0.021	-0.05995693	-0.05992479	-0.05971953	
0.0212	-0.05996103	-0.05993195	-0.05973368	
0.0214	-0.05996474	-0.05993842	-0.05974768	
0.0216	-0.0599681	-0.05994429	-0.05976142	
0.0218	-0.05997114	-0.05994959	-0.05977484	
0.022	-0.05997388	-0.05995439	-0.05978786	
0.0222	-0.05997637	-0.05995873	-0.05980044	
0.0224	-0.05997862	-0.05996266	-0.05981255	
0.0226	-0.05998066	-0.05996621	-0.05982416	
0.0228	-0.0599825	-0.05996943	-0.05983526	
0.023	-0.05998068	-0.05997234	-0.05984583	
0.0232	-0.05997405	-0.05997497	-0.05985552	
0.0234	-0.0599632	-0.05997736	-0.05986387	
0.0236	-0.05994875	-0.05997951	-0.05987052	
0.0238	-0.05993134	-0.05998146	-0.05987523	
0.024	-0.05991161	-0.05998323	-0.05987785	
0.0242	-0.05989021	-0.05998483	-0.05987832	
0.0244	-0.05986776	-0.05998467	-0.05987664	
0.0246	-0.0598449	-0.05998206	-0.05987272	
0.0248	-0.05982222	-0.05997711	-0.05986648	
0.025	-0.05980032	-0.05997001	-0.0598579	
0.0252	-0.05977972	-0.05996098	-0.05984706	
0.0254	-0.05976095	-0.0599503	-0.05983411	
0.0256	-0.05974444	-0.0599383	-0.05981927	
0.0258	-0.05973063	-0.0599252	-0.05980283	
0.026	-0.05971984	-0.05991083	-0.05978509	
0.0262	-0.05971238	-0.0598957	-0.05976638	
0.0264	-0.05970846	-0.0598803	-0.05974706	
0.0266	-0.05970826	-0.05986509	-0.05972754	
0.0268	-0.05971186	-0.05985054	-0.05970824	
0.027	-0.05971929	-0.05983705	-0.05968963	
0.0272	-0.0597305	-0.05982501	-0.05967214	
0.0274	-0.05974539	-0.05981476	-0.05965624	
0.0276	-0.05976379	-0.0598066	-0.05964234	
0.0278	-0.05978546	-0.05980079	-0.05963086	
0.028	-0.05980588	-0.05979753	-0.05962215	
0.0282	-0.05982435	-0.05979698	-0.05961609	
0.0284	-0.05984107	-0.05979917	-0.05961251	
0.0286	-0.05985619	-0.05980415	-0.05961127	
0.0288	-0.05986988	-0.05981193	-0.05961228	
0.029	-0.05988226	-0.05982248	-0.05961547	
0.0292	-0.05989346	-0.05983471	-0.05962078	
0.0294	-0.0599036	-0.05984728	-0.05962807	
0.0296	-0.05991277	-0.05986001	-0.05963707	
0.0298	-0.05992107	-0.05987275	-0.05964753	
0.03	-0.05992859	-0.05988486	-0.05965922	
0.0302	-0.05993538	-0.05989582	-0.05967188	
0.0304	-0.05994153	-0.05990573	-0.05968522	
0.0306	-0.0599471	-0.0599147	-0.05969899	
0.0308	-0.05995213	-0.05992282	-0.05971298	
0.031	-0.05995668	-0.05993016	-0.05972704	
0.0312	-0.05996081	-0.05993681	-0.05974102	
0.0314	-0.05996454	-0.05994282	-0.05975481	
0.0316	-0.05996791	-0.05994827	-0.05976832	
0.0318	-0.05997097	-0.05995319	-0.05978148	
