Time	(16) Kp*error	(21) Kd*de/dt	(22) Kp*e+Kd*de/dt CW	
0.0222	-0.06000017	-0.06000017	-0.06	
0.0224	-0.06000016	-0.06000016	-0.06	
0.0226	-0.06000014	-0.06000014	-0.06	
0.0228	-0.06000013	-0.06000013	-0.06	
0.023	-0.06000012	-0.06000012	-0.06	
0.0232	-0.06000011	-0.06000011	-0.06	
0.0234	-0.0600001	-0.0600001	-0.06	
0.0236	-0.06000009	-0.06000009	-0.06	
0.0238	-0.06000008	-0.06000008	-0.06	
0.024	-0.06000007	-0.06000007	-0.06	
0.0242	-0.06000007	-0.06000007	-0.06	
0.0244	-0.06000006	-0.06000006	-0.06	
0.0246	-0.06000006	-0.06000006	-0.06	
0.0248	-0.06000005	-0.06000005	-0.06	
0.025	-0.06000005	-0.06000005	-0.06	
0.0252	-0.06000004	-0.06000004	-0.06	
0.0254	-0.06000004	-0.06000004	-0.06	
0.0256	-0.06000004	-0.06000004	-0.06	
0.0258	-0.06000003	-0.06000003	-0.06	
0.026	-0.06000003	-0.06000003	-0.06	
0.0262	-0.06000003	-0.06000003	-0.06	
0.0264	-0.06000002	-0.06000002	-0.06	
0.0266	-0.06000002	-0.06000002	-0.06	
0.0268	-0.06000002	-0.06000002	-0.06	
0.027	-0.06000002	-0.06000002	-0.06	
0.0272	-0.06000002	-0.06000002	-0.06	
0.0274	-0.06000002	-0.06000002	-0.06	
0.0276	-0.06000001	-0.06000001	-0.06	
0.0278	-0.06000001	-0.06000001	-0.06	
0.028	-0.06000001	-0.06000001	-0.06	
0.0282	-0.06000001	-0.06000001	-0.06	
0.0284	-0.06000001	-0.06000001	-0.06	
0.0286	-0.06000001	-0.06000001	-0.06	
0.0288	-0.06000001	-0.06000001	-0.06	
0.029	-0.06000001	-0.06000001	-0.06	
0.0292	-0.06000001	-0.06000001	-0.06	
0.0294	-0.06000001	-0.06000001	-0.06	
0.0296	-0.06000001	-0.06000001	-0.06	
0.0298	-0.06000001	-0.06000001	-0.06	
0.03	-0.06000001	-0.06000001	-0.06	
0.0302	-0.06	-0.06	-0.06	
0.0304	-0.06	-0.06	-0.06	
0.0306	-0.06	-0.06	-0.06	
0.0308	-0.06	-0.06	-0.06	
0.031	-0.06	-0.06	-0.06	
0.0312	-0.06	-0.06	-0.06	
0.0314	-0.06	-0.06	-0.06	
0.0316	-0.06	-0.06	-0.06	
0.0318	-0.06	-0.06	-0.06	
0.032	-0.05999961	-0.06	-0.06	
0.0322	-0.05999784	-0.06	-0.05999996	
0.0324	-0.05999435	-0.06	-0.05999973	
0.0326	-0.05998896	-0.05999999	-0.05999916	
0.0328	-0.05998158	-0.05999995	-0.05999807	
0.033	-0.05997225	-0.05999987	-0.05999629	
