Time	(23) Combined Output	
0.0458	-0.06008191	
0.046	-0.06008234	
0.0462	-0.06008277	
0.0464	-0.06008319	
0.0466	-0.06008362	
0.0468	-0.06008404	
0.047	-0.06008447	
0.0472	-0.06008489	
0.0474	-0.06008532	
0.0476	-0.06008574	
0.0478	-0.06008616	
0.048	-0.06008658	
0.0482	-0.060087	
0.0484	-0.06008742	
0.0486	-0.06008784	
0.0488	-0.06008826	
0.049	-0.06008868	
0.0492	-0.06008909	
0.0494	-0.0600895	
0.0496	-0.06008992	
0.0498	-0.06009033	
0.05	-0.06009074	
0.0502	-0.06009116	
0.0504	-0.06009157	
0.0506	-0.06009198	
0.0508	-0.06009239	
0.051	-0.0600928	
0.0512	-0.0600932	
0.0514	-0.06009361	
0.0516	-0.06009401	
0.0518	-0.06009442	
0.052	-0.06009483	
0.0522	-0.06009523	
0.0524	-0.06009563	
0.0526	-0.06009604	
0.0528	-0.06009644	
0.053	-0.06009684	
0.0532	-0.06009724	
0.0534	-0.06009764	
0.0536	-0.06009804	
0.0538	-0.06009844	
0.054	-0.06009883	
0.0542	-0.06009923	
0.0544	-0.06009962	
0.0546	-0.06010002	
0.0548	-0.06010041	
0.055	-0.06010081	
0.0552	-0.0601012	
0.0554	-0.06010159	
0.0556	-0.06010199	
0.0558	-0.06010238	
0.056	-0.06010277	
0.0562	-0.06010316	
0.0564	-0.06010355	
0.0566	-0.06010394	
0.0568	-0.06010433	
0.057	-0.06010471	
0.0572	-0.0601051	
0.0574	-0.06010548	
0.0576	-0.06010587	
0.0578	-0.06010626	
0.058	-0.06010664	
0.0582	-0.06010702	
0.0584	-0.06010741	
0.0586	-0.06010779	
0.0588	-0.06010817	
0.059	-0.06010855	
0.0592	-0.06010893	
0.0594	-0.06010931	
0.0596	-0.06010969	
0.0598	-0.06011007	
0.06	-0.06011045	
0.0602	-0.06011083	
0.0604	-0.0601112	
0.0606	-0.06011158	
0.0608	-0.06011195	
0.061	-0.06011233	
0.0612	-0.0601127	
0.0614	-0.06011308	
0.0616	-0.06011345	
0.0618	-0.06011382	
0.062	-0.0601142	
0.0622	-0.06011457	
0.0624	-0.06011494	
0.0626	-0.06011531	
0.0628	-0.06011568	
0.063	-0.06011605	
0.0632	-0.06011642	
0.0634	-0.06011679	
0.0636	-0.06011716	
0.0638	-0.06011752	
0.064	-0.06011789	
0.0642	-0.06011826	
0.06439999	-0.06011862	
0.0646	-0.06011899	
0.0648	-0.06011935	
0.065	-0.06011972	
0.0652	-0.06012008	
0.0654	-0.06012044	
0.0656	-0.06012081	
0.0658	-0.06012117	
0.066	-0.06012153	
0.0662	-0.06012189	
0.0664	-0.06012226	
0.06659999	-0.06012262	
0.0668	-0.06012298	
0.067	-0.06012334	
0.0672	-0.0601237	
0.0674	-0.06012405	
0.0676	-0.06012441	
0.0678	-0.06012477	
0.068	-0.06012513	
0.0682	-0.06012549	
0.0684	-0.06012584	
0.0686	-0.0601262	
0.06879999	-0.06012655	
0.069	-0.06012691	
0.0692	-0.06012726	
0.0694	-0.06012762	
0.0696	-0.06012797	
0.0698	-0.06012832	
0.07	-0.06012867	
0.0702	-0.06012903	
0.0704	-0.06012938	
0.0706	-0.06012973	
0.0708	-0.06013008	
0.07099999	-0.06013043	
0.0712	-0.06013078	
0.0714	-0.06013113	
0.0716	-0.06013148	
0.0718	-0.06013183	
0.072	-0.06013218	
0.0722	-0.06013253	
0.0724	-0.06013288	
0.0726	-0.06013322	
0.0728	-0.06013357	
0.073	-0.06013392	
0.07319999	-0.06013426	
0.0734	-0.06013461	
0.0736	-0.06013495	
0.0738	-0.0601353	
0.074	-0.06013564	
0.0742	-0.06013599	
0.0744	-0.06013633	
0.0746	-0.06013668	
0.0748	-0.06013702	
0.075	-0.06013736	
0.0752	-0.0601377	
0.07539999	-0.06013805	
0.0756	-0.06013839	
0.0758	-0.06013873	
0.076	-0.06013907	
0.0762	-0.06013941	
0.0764	-0.06013975	
0.0766	-0.06014009	
0.0768	-0.06014043	
0.077	-0.06014077	
0.0772	-0.06014111	
0.0774	-0.06014144	
0.07759999	-0.06014178	
0.0778	-0.06014212	
0.078	-0.06014246	
0.0782	-0.0601428	
0.0784	-0.06014313	
0.0786	-0.06014347	
0.0788	-0.06014381	
0.079	-0.06014414	
0.0792	-0.06014448	
0.0794	-0.06014481	
0.0796	-0.06014515	
0.07979999	-0.06014548	
0.08	-0.06014581	
0.0802	-0.06014615	
0.0804	-0.06014648	
0.0806	-0.06014682	
0.0808	-0.06014715	
0.081	-0.06014748	
0.0812	-0.06014781	
0.0814	-0.06014814	
0.0816	-0.06014847	
0.0818	-0.06014881	
0.08199999	-0.06014914	
0.0822	-0.06014947	
0.0824	-0.0601498	
0.0826	-0.06015013	
0.0828	-0.06015046	
0.083	-0.06015079	
0.0832	-0.06015112	
0.0834	-0.06015145	
0.0836	-0.06015177	
0.0838	-0.0601521	
0.084	-0.06015243	
0.08419999	-0.06015276	
0.0844	-0.06015309	
0.0846	-0.06015341	
0.0848	-0.06015374	
0.085	-0.06015407	
0.0852	-0.06015439	
0.0854	-0.06015472	
0.0856	-0.06015505	
0.0858	-0.06015537	
0.086	-0.06015569	
0.0862	-0.06015602	
0.08639999	-0.06015635	
0.0866	-0.06015667	
0.08679999	-0.06015699	
0.087	-0.06015732	
0.0872	-0.06015764	
0.0874	-0.06015797	
0.0876	-0.06015829	
0.0878	-0.06015861	
0.088	-0.06015893	
0.0882	-0.06015925	
0.0884	-0.06015958	
0.08859999	-0.0601599	
0.0888	-0.06016022	
0.08899999	-0.06016054	
0.0892	-0.06016086	
0.0894	-0.06016118	
0.0896	-0.0601615	
0.0898	-0.06016183	
0.09	-0.06016215	
0.0902	-0.06016247	
0.0904	-0.06016279	
0.0906	-0.0601631	
0.09079999	-0.06016342	
0.091	-0.06016374	
0.09119999	-0.06016406	
0.0914	-0.06016438	
0.0916	-0.0601647	
0.0918	-0.06016501	
0.092	-0.06016533	
0.0922	-0.06016565	
0.0924	-0.06016597	
0.0926	-0.06016628	
0.0928	-0.0601666	
0.09299999	-0.06016692	
0.0932	-0.06016723	
0.09339999	-0.06016755	
0.0936	-0.06016787	
0.0938	-0.06016818	
0.094	-0.0601685	
0.0942	-0.06016881	
0.0944	-0.06016913	
0.0946	-0.06016944	
0.0948	-0.06016976	
0.095	-0.06017007	
0.09519999	-0.06017039	
0.0954	-0.0601707	
0.09559999	-0.06017102	
0.0958	-0.06017133	
0.096	-0.06017165	
0.0962	-0.06017196	
0.0964	-0.06017227	
0.0966	-0.06017258	
0.0968	-0.0601729	
0.097	-0.06017321	
0.0972	-0.06017352	
0.09739999	-0.06017383	
0.0976	-0.06017414	
0.09779999	-0.06017446	
0.098	-0.06017477	
0.0982	-0.06017508	
0.0984	-0.06017539	
0.0986	-0.0601757	
0.0988	-0.06017601	
0.099	-0.06017632	
0.0992	-0.06017663	
0.0994	-0.06017694	
0.09959999	-0.06017725	
0.0998	-0.06017756	
0.09999999	-0.06017787	
0.1002	-0.06017818	
0.1004	-0.06017849	
0.1006	-0.0601788	
0.1008	-0.06017911	
0.101	-0.06017942	
0.1012	-0.06017973	
0.1014	-0.06018003	
0.1016	-0.06018034	
0.1018	-0.06018065	
0.102	-0.06018096	
0.1022	-0.06018127	
0.1024	-0.06018158	
0.1026	-0.06018188	
0.1028	-0.06018219	
0.103	-0.0601825	
0.1032	-0.0601828	
0.1034	-0.06018311	
0.1036	-0.06018342	
0.1038	-0.06018372	
0.104	-0.06018403	
0.1042	-0.06018434	
0.1044	-0.06018464	
0.1046	-0.06018495	
0.1048	-0.06018525	
0.105	-0.06018556	
0.1052	-0.06018586	
0.1054	-0.06018617	
0.1056	-0.06018648	
0.1058	-0.06018678	
0.106	-0.06018708	
0.1062	-0.06018739	
0.1064	-0.06018769	
0.1066	-0.060188	
0.1068	-0.0601883	
0.107	-0.06018861	
0.1072	-0.06018891	
0.1074	-0.06018921	
0.1076	-0.06018952	
0.1078	-0.06018982	
0.108	-0.06019012	
0.1082	-0.06019042	
0.1084	-0.06019073	
0.1086	-0.06019103	
0.1088	-0.06019133	
0.109	-0.06019164	
0.1092	-0.06019194	
0.1094	-0.06019224	
0.1096	-0.06019254	
0.1098	-0.06019285	
0.11	-0.06019315	
0.1102	-0.06019345	
0.1104	-0.06019375	
0.1106	-0.06019405	
0.1108	-0.06019435	
0.111	-0.06019465	
0.1112	-0.06019495	
0.1114	-0.06019526	
0.1116	-0.06019555	
0.1118	-0.06019586	
0.112	-0.06019616	
0.1122	-0.06019646	
0.1124	-0.06019676	
0.1126	-0.06019706	
0.1128	-0.06019736	
0.113	-0.06019766	
0.1132	-0.06019796	
0.1134	-0.06019825	
0.1136	-0.06019856	
0.1138	-0.06019885	
0.114	-0.06019915	
0.1142	-0.06019945	
0.1144	-0.06019975	
0.1146	-0.06020005	
0.1148	-0.06020035	
0.115	-0.06020065	
0.1152	-0.06020095	
0.1154	-0.06020125	
0.1156	-0.06020154	
0.1158	-0.06020184	
0.116	-0.06020214	
0.1162	-0.06020244	
0.1164	-0.06020274	
0.1166	-0.06020303	
0.1168	-0.06020333	
0.117	-0.06020363	
0.1172	-0.06020392	
0.1174	-0.06020422	
0.1176	-0.06020452	
0.1178	-0.06020482	
0.118	-0.06020511	
0.1182	-0.06020541	
0.1184	-0.06020571	
0.1186	-0.060206	
0.1188	-0.0602063	
0.119	-0.0602066	
0.1192	-0.06020689	
0.1194	-0.06020719	
0.1196	-0.06020748	
0.1198	-0.06020778	
0.12	-0.06020807	
0.1202	-0.06020837	
0.1204	-0.06020867	
0.1206	-0.06020896	
0.1208	-0.06020926	
0.121	-0.06020955	
0.1212	-0.06020985	
0.1214	-0.06021014	
0.1216	-0.06021044	
0.1218	-0.06021073	
0.122	-0.06021103	
0.1222	-0.06021132	
0.1224	-0.06021161	
0.1226	-0.06021191	
0.1228	-0.0602122	
0.123	-0.0602125	
0.1232	-0.06021279	
0.1234	-0.06021309	
0.1236	-0.06021338	
0.1238	-0.06021367	
0.124	-0.06021397	
0.1242	-0.06021426	
0.1244	-0.06021455	
0.1246	-0.06021485	
0.1248	-0.06021514	
0.125	-0.06021543	
0.1252	-0.06021573	
0.1254	-0.06021602	
0.1256	-0.06021631	
0.1258	-0.06021661	
0.126	-0.0602169	
0.1262	-0.06021719	
0.1264	-0.06021748	
0.1266	-0.06021778	
0.1268	-0.06021807	
0.127	-0.06021836	
0.1272	-0.06021865	
0.1274	-0.06021895	
0.1276	-0.06021924	
0.1278	-0.06021953	
0.128	-0.06021982	
0.1282	-0.06022011	
0.1284	-0.06022041	
0.1286	-0.0602207	
0.1288	-0.06022099	
0.129	-0.06022128	
0.1292	-0.06022157	
0.1294	-0.06022186	
0.1296	-0.06022215	
0.1298	-0.06022244	
0.13	-0.06022273	
0.1302	-0.06022302	
0.1304	-0.06022331	
0.1306	-0.06022361	
0.1308	-0.0602239	
0.131	-0.06022419	
0.1312	-0.06022448	
0.1314	-0.06022477	
0.1316	-0.06022506	
0.1318	-0.06022535	
0.132	-0.06022564	
0.1322	-0.06022593	
0.1324	-0.06022622	
0.1326	-0.06022651	
0.1328	-0.0602268	
0.133	-0.06022709	
0.1332	-0.06022738	
0.1334	-0.06022767	
0.1336	-0.06022796	
0.1338	-0.06022825	
0.134	-0.06022854	
0.1342	-0.06022883	
0.1344	-0.06022912	
0.1346	-0.06022941	
0.1348	-0.06022969	
0.135	-0.06022998	
0.1352	-0.06023027	
0.1354	-0.06023056	
0.1356	-0.06023085	
0.1358	-0.06023114	
0.136	-0.06023143	
0.1362	-0.06023172	
0.1364	-0.060232	
0.1366	-0.06023229	
0.1368	-0.06023258	
0.137	-0.06023287	
0.1372	-0.06023316	
0.1374	-0.06023344	
0.1376	-0.06023373	
0.1378	-0.06023402	
0.138	-0.06023431	
0.1382	-0.0602346	
0.1384	-0.06023489	
0.1386	-0.06023517	
0.1388	-0.06023546	
0.139	-0.06023575	
0.1392	-0.06023604	
0.1394	-0.06023632	
0.1396	-0.06023661	
0.1398	-0.0602369	
0.14	-0.06023718	
0.1402	-0.06023747	
0.1404	-0.06023776	
0.1406	-0.06023804	
0.1408	-0.06023833	
0.141	-0.06023862	
0.1412	-0.06023891	
0.1414	-0.06023919	
0.1416	-0.06023948	
0.1418	-0.06023977	
0.142	-0.06024005	
0.1422	-0.06024034	
0.1424	-0.06024063	
0.1426	-0.06024091	
0.1428	-0.0602412	
0.143	-0.06024149	
0.1432	-0.06024177	
0.1434	-0.06024206	
0.1436	-0.06024234	
0.1438	-0.06024263	
0.144	-0.06024291	
0.1442	-0.0602432	
0.1444	-0.06024349	
0.1446	-0.06024377	
0.1448	-0.06024406	
0.145	-0.06024434	
0.1452	-0.06024463	
0.1454	-0.06024491	
0.1456	-0.0602452	
0.1458	-0.06024548	
0.146	-0.06024577	
0.1462	-0.06024606	
0.1464	-0.06024634	
0.1466	-0.06024663	
0.1468	-0.06024691	
0.147	-0.0602472	
0.1472	-0.06024748	
0.1474	-0.06024777	
0.1476	-0.06024805	
0.1478	-0.06024834	
0.148	-0.06024862	
0.1482	-0.0602489	
0.1484	-0.06024919	
0.1486	-0.06024947	
0.1488	-0.06024976	
0.149	-0.06025004	
0.1492	-0.06025033	
0.1494	-0.06025061	
0.1496	-0.0602509	
0.1498	-0.06025118	
0.15	-0.06025147	
0.1502	-0.06025175	
